quarter_end,fiscal_year,fiscal_quarter,revenue,cost_materials_consumed,purchase_stock_in_trade,inventory_change,inventory,trade_recievables,trade_payables
2022-06-30,FY23,Q1,7586.23,3959.94,983.21,-248.62,,,
2022-09-30,FY23,Q2,7344.34,4285.3,1083.93,-660.07,6187.18,3011.21,3808.42
2022-12-31,FY23,Q3,7521.82,3178.83,950.96,464.48,,,
2023-03-31,FY23,Q4,8787.43,3551.08,1110.91,395.7,5321.79,3462.61,3045.86
2023-06-30,FY24,Q1,8113.96,3481.71,769.14,327.42,,,
2023-09-30,FY24,Q2,7342.22,3337.61,933.56,-167.6,5221.44,3222.73,3378.0
2023-12-31,FY24,Q3,7913.01,3206.29,919.05,274.06,,,
2024-03-31,FY24,Q4,7480.93,3392.47,822.58,-76.9,5074.76,3633.45,3238.83
2024-06-30,FY25,Q1,7881.62,3508.94,836.51,138.88,,,
2024-09-30,FY25,Q2,6868.37,3439.05,919.35,-331.64,5526.92,3507.32,3780.16
2024-12-31,FY25,Q3,7320.53,3044.46,903.73,193.85,,,
2025-03-31,FY25,Q4,7192.41,3208.04,901.59,-168.84,5848.23,3197.55,3123.69
2025-06-30,FY26,Q1,7868.45,3374.25,864.49,221.48,,,
2025-09-30,FY26,Q2,7356.29,3063.74,954.01,111.71,5104.05,3314.22,2695.43
2025-12-31,FY26,Q3,7624.5,2956.79,978.0,250.85,,,
2026-03-31,FY26,Q4,7920.24,3276.01,1003.34,13.05,4824.74,3227.71,3114.48
